State,Cong. District,Representative,Party,Leadership,Projects,Total Appropriation
Georgia,3,Lynn Westmoreland ,Republican,,11,18234741
Georgia,4,Hank Johnson ,Democrat,,14,38928771
Georgia,5,John Lewis ,Democrat,,7,16128615
Georgia,6,Tom Price ,Republican,,9,53008581
Georgia,7,John Linder ,Republican,,5,79549734
Georgia,8,Jim Marshall ,Democrat,,4,62181128
Georgia,9,Nathan Deal ,Republican,,9,19719382
Georgia,10,Paul C. Broun ,Republican,,11,24060781
Georgia,11,Phil Gingrey ,Republican,,9,26116096
Georgia,12,John Barrow ,Democrat,,12,28968552
Georgia,13,David Scott ,Democrat,,7,14217963
Georgia,Multiple,,,,1,1000000
Guam,,Del. Madeleine Bordallo ,Democrat,,5,18000000
Hawaii,1,Neil Abercrombie ,Democrat,,1,3407221
Hawaii,2,Mazie Hirono ,Democrat,,10,50922139
Idaho,1,Walter C. Walt Minnick ,Democrat,,15,47821859
Idaho,2,Mike Simpson ,Republican,,17,96051307
Idaho,Multiple,,,,1,162960
Illinois,1,Bobby L. Rush ,Democrat,,6,12779331
Illinois,2,"Jesse L. Jackson, Jr. ",Democrat,,12,68565786
Illinois,3,Dan Lipinski ,Democrat,,12,13086755
Illinois,4,Luis V. Gutierrez ,Democrat,,1,1538505
Illinois,5,Mike Quigley ,Democrat,,6,8442374
Illinois,6,Peter Roskam ,Republican,,2,968716
Illinois,7,Danny Davis ,Democrat,,5,26454620
Illinois,8,Melissa Bean ,Democrat,,5,27137844
Illinois,9,Janice Schakowsky ,Democrat,,11,16321565
Illinois,10,Mark Steven Kirk ,Republican,,6,10832639
Illinois,11,Debbie Halvorson ,Democrat,,32,45110739
Illinois,12,Jerry F. Costello ,Democrat,,15,22207606
Illinois,13,Judy Biggert ,Republican,,11,27675733
Illinois,14,Bill Foster ,Democrat,,25,23776328
Illinois,15,Timothy V. Johnson ,Republican,,27,62054170
Illinois,16,Don Manzullo ,Republican,,25,16817770
Illinois,17,Phil Hare ,Democrat,,29,55955436
Illinois,18,Aaron Schock ,Republican,,29,49121601
Illinois,19,John Shimkus ,Republican,,22,62025038
Illinois,Multiple,,,,57,138567393
Indiana,1,Peter J. Visclosky ,Democrat,,29,20317363
Indiana,2,Joe Donnelly ,Democrat,,21,13401924
Indiana,3,Mark Souder ,Republican,,22,43715265
Indiana,4,Steve Buyer ,Republican,,37,92920767
Indiana,5,Dan Burton ,Republican,,22,30932432
Indiana,6,Mike Pence ,Republican,,18,24029887
Indiana,7,Andre Carson ,Democrat,,5,16470748
Indiana,8,Brad Ellsworth ,Democrat,,30,25299166
Indiana,9,Baron Hill ,Democrat,,50,44861220
Indiana,Multiple,,,,17,36313160
Iowa,1,Bruce Braley ,Democrat,,19,24820223
Iowa,2,Dave Loebsack ,Democrat,,27,32449928
Iowa,3,Leonard L. Boswell ,Democrat,,29,27550043
Iowa,4,Tom Latham ,Republican,,34,50187515
Iowa,5,Steve King ,Republican,,56,183944337
Kansas,1,Jerry Moran ,Republican,,5,83849330
Kansas,2,Lynn Jenkins ,Republican,,6,15186060
Kansas,3,Dennis Moore ,Democrat,,3,95610000
Kansas,4,Todd Tiahrt ,Republican,,7,21765607
Kansas,Multiple,,,,1,1000000
Kentucky,1,Edward Whitfield ,Republican,,10,52420812
Kentucky,2,Brett Guthrie ,Republican,,8,50920400
Kentucky,3,John Yarmuth ,Democrat,,0,0
Kentucky,4,Geoff Davis ,Republican,,6,38542528
Kentucky,5,Harold Rogers ,Republican,,6,66552900
